C9D7D9S7D2;HAC5S8D8C10
DQSJD8C4DA;H3C9H7D6S2
S5HAHJS9DQ;D3S7C6D6S3
D3S6C7DJDQ;D8C8D2H7C6
S9C9DQHAS6;C10H4C2S8CK
HJC4D10DAC9;D7D6C7SJH3
S2SQDQS9H8;CKH10D9D4H9
C5SKH4DKHK;D2C9C6H6D6
DACJDJC6HQ;CAS8S2S3D2
C10C3D10H10D8;CJHJH6H2H3
CJDJD7SQH4;H10C10C9D2C7
DKC10HJS10CJ;S6H2H10S5H3
H4CQDQC10H8;C8C2D3CJS8
H2S5S7C7D3;D10DQC3HKSQ
H2D4DJH3SQ;S2D10H6HQC6
H5S2HJC9C3;S10S5S9DAS4
S3C8S2SKH7;D4C6CQCAC10
CJD7C7CKH3;H4C8H2D2CQ
H7D5HQD2DJ;H4D9D4DQD8
HKC9D10DJCJ;C6H7D9S2C5
D9S7H2S8S3;HQH7SKDQC6
H4CQD2DKD5;CAD6C4C6D9
C2C6H8C9CK;S6S10C10H4H3
C7S9S4DAH9;D4S7CACKD9
C10HKH10H8D6;D2S8CQDKH4
H4D6C9S2C2;H9C4S8S5SQ
H3CAS5HQHA;S10D6SKD2SJ
S3H3D10H7S10;H10HKS6C5HA
CJDJS5DACQ;HJH4D7H6C7
CAD6S3H7CJ;C3D2S10C6HK
H7S9DKHJH6;S7SJH5DQCA
DJCKS8H9HA;D8C5S4DKH10
D6D2C10D8H3;SQHKSKCKDA
D6H7SQS10C3;H9H3S4H5CK
DJCQDQHQHJ;H3H7CKS8D9
CKS10S8DQHJ;C5H8S2C8S3
HQH7H5H4SQ;C5D6D5D3S3
DJD5S3C6C4;HASKC9CAD2
S6CKS10DKS2;CQH9C10C8C6
C3SKDAD9H4;D7H10S4C2S10
DJDKDQD4C4;HAS8D10H7C10
D5SJHQH2S10;H10CKC2S4H6
DQSQCAD9CK;H8H10HQHKC6
D9S8C7SJS5;S4D10C2D8C8
DKH6H2S3S7;HASJH7C9C5
S3S9C7HKC2;DQDKS7D7S2
H4HJH5HASQ;C8SKD9S10C4
C5D3C8H4CJ;S10H5S5DASK
S6CAC4C6CJ;SKH8D5CKC9
H4SJHQD5HJ;H7H3CAD6S8
C6S4H4SJC3;SKC2H6S8SQ
HQH7DJD4H3;C8D3C6S7S9
DQD4H2S2H8;C7C3S6C6H5
S5CKH10S9CQ;CACJH3H8C3
C3S4CKH9C4;CASQS5D2HJ
HKH5CKH4DK;S6CJC6HQSJ
DKH6H10S6HA;S8C8S2H8D2
CQD4H6D6C2;S4C7HKC9H2
H4D2H6HQC6;CQD5D3S5D4
H4C8S5SKCA;C10CJHJDKS6
C6S8SKHAD5;CKC9CJC10S10
S3C6CKH3C10;CJC3CQD8D4
C9C4S5D3H9;S9CAC10D7D8
C4C2DKH4S5;DAC3SJHKD5
S2CJD3D10H10;CAC8D5H7S10
S8S7C7H5HK;D8D3C5S10DA
C5CADKS2H5;C6H6H10CQS9
DAC5H2D3H5;S2H3HJC3H6
D7H8CJHQC6;H2D6H5C8S8
CAH7S2D2C6;CKC7S8S9D3
H9HQS3H2SK;D6DQSQC6HA
H3S10S2DAC4;C6C5DKD2S4
S9DQD5D8C5;HJH3D9S3D6
HQC7DAH2D10;SJS5C8H6DJ
SQH8D10D2S7;C7D7C3H3D6
SKD8D4SJD2;HKC6D6S3CJ
D3DJDAD5D9;S10D7C10C8D10
S2D9D6C6C7;H6HKC4D2DK
S9S3D9C9HQ;C3C10C5H3S4
H8D2SKS7DQ;HQHJC7D7HK
C10C8S4S3HK;HAH7H4S10HQ
C7S10DJD4C3;C4CJC9SQCQ
H9C2H2C8C6;C9S2DQD2SK
DJC6D6C2H4;H8D10SKC3DK
S6CQH4H5S2;S9D4C6S8D10
H9S10DKC6S9;D5S7S3H7HA
C3H6H8S9HA;C7S6H9DAC9
C2S8C8H10C10;D7H2C6H5D3
DJC4HQCJD8;S6H6D4S5DQ
HAC5S8S4CQ;D2S10C10C6S3
D5S4H5D2CJ;D6S6H4HQD7
S5D2S7D5CK;D9HKCAH7DQ
S2D3HKH3D8;H2SJS7C7C2
S10D8CAD5S5;HQHKDAD6C6
CADQS10H10D6;C3H9SQS7C5
CAD6HJD3H9;H3D2C6HKHQ
S10S4D4HKH2;C9S6D2H4S2
C2H8H4SKS8;D6DKC6H6CK
C6H4S7HQD8;H3S2S3C3SJ
CKCJD5DKH5;D4S7D8SJDQ
H2SQHJCQD3;C4HQDJDQD7
S6S2SKH4C5;D2D10S3H7CQ
H7H5D5HQCQ;H6D9S10CJD7
C4C2H9S3C5;S5D5D7H7C7
H5H10D6HQC2;S6S2C4D3S8
HQD9D7D6S5;S2D4CKC5H5
C4HAS9CJD7;D5CKHQS2H4
D8H5S5H3D2;H8SQHQS9H9
S5C6H9S9D7;S8SQD10S6S7
